Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count,Total_Individuals,Total_Mutations,Total_Severe_Mutations,Gene_Individuals_with_Mutations_Prop,Gene_Individuals_with_Severe_Mutations_Prop
HECW1,Lung_Adenocarcinoma,84,10,65,10,508,195863,20684,0.1279527559055118,0.01968503937007874
ZNF521,Lung_Adenocarcinoma,85,12,62,11,508,195863,20684,0.1220472440944882,0.021653543307086614
HRNR,Lung_Adenocarcinoma,114,10,84,10,508,195863,20684,0.16535433070866143,0.01968503937007874
MUC16,Lung_Adenocarcinoma,500,48,237,42,508,195863,20684,0.46653543307086615,0.08267716535433071
NPAP1,Lung_Adenocarcinoma,123,7,96,6,508,195863,20684,0.1889763779527559,0.011811023622047244
FAT2,Lung_Adenocarcinoma,74,8,62,8,508,195863,20684,0.1220472440944882,0.015748031496062992
ANK2,Lung_Adenocarcinoma,156,13,113,13,508,195863,20684,0.22244094488188976,0.025590551181102362
ZNF423,Lung_Adenocarcinoma,71,7,60,7,508,195863,20684,0.11811023622047244,0.013779527559055118
RP1L1,Lung_Adenocarcinoma,135,11,100,11,508,195863,20684,0.1968503937007874,0.021653543307086614
NRXN1,Lung_Adenocarcinoma,131,13,94,13,508,195863,20684,0.18503937007874016,0.025590551181102362
ZP4,Lung_Adenocarcinoma,70,9,64,9,508,195863,20684,0.12598425196850394,0.017716535433070866
GPR98,Lung_Adenocarcinoma,63,10,57,10,508,195863,20684,0.11220472440944881,0.01968503937007874
ACTN2,Lung_Adenocarcinoma,62,3,53,3,508,195863,20684,0.10433070866141732,0.005905511811023622
TMTC1,Lung_Adenocarcinoma,66,9,53,9,508,195863,20684,0.10433070866141732,0.017716535433070866
PAPPA2,Lung_Adenocarcinoma,164,15,112,15,508,195863,20684,0.2204724409448819,0.02952755905511811
FAM135B,Lung_Adenocarcinoma,123,9,94,9,508,195863,20684,0.18503937007874016,0.017716535433070866
PLXNA4,Lung_Adenocarcinoma,95,6,77,6,508,195863,20684,0.1515748031496063,0.011811023622047244
TEX15,Lung_Adenocarcinoma,65,10,60,10,508,195863,20684,0.11811023622047244,0.01968503937007874
PTPRD,Lung_Adenocarcinoma,128,15,99,14,508,195863,20684,0.19488188976377951,0.027559055118110236
DCAF12L2,Lung_Adenocarcinoma,62,4,51,4,508,195863,20684,0.10039370078740158,0.007874015748031496
TLR4,Lung_Adenocarcinoma,84,10,74,10,508,195863,20684,0.14566929133858267,0.01968503937007874
OBSCN,Lung_Adenocarcinoma,146,9,116,9,508,195863,20684,0.2283464566929134,0.017716535433070866
DOCK2,Lung_Adenocarcinoma,96,12,74,10,508,195863,20684,0.14566929133858267,0.01968503937007874
GRM8,Lung_Adenocarcinoma,69,8,57,8,508,195863,20684,0.11220472440944881,0.015748031496062992
PCDH15,Lung_Adenocarcinoma,191,18,124,16,508,195863,20684,0.2440944881889764,0.031496062992125984
SYNE2,Lung_Adenocarcinoma,81,12,68,12,508,195863,20684,0.13385826771653545,0.023622047244094488
HMCN1,Lung_Adenocarcinoma,126,21,94,19,508,195863,20684,0.18503937007874016,0.03740157480314961
SSPO,Lung_Adenocarcinoma,110,4,94,4,508,195863,20684,0.18503937007874016,0.007874015748031496
CSMD2,Lung_Adenocarcinoma,110,11,90,11,508,195863,20684,0.17716535433070865,0.021653543307086614
PLCB1,Lung_Adenocarcinoma,63,5,54,5,508,195863,20684,0.1062992125984252,0.00984251968503937
ASXL3,Lung_Adenocarcinoma,112,8,89,8,508,195863,20684,0.17519685039370078,0.015748031496062992
BAGE2,Lung_Adenocarcinoma,110,4,91,4,508,195863,20684,0.17913385826771652,0.007874015748031496
LRFN5,Lung_Adenocarcinoma,61,7,58,7,508,195863,20684,0.1141732283464567,0.013779527559055118
CUBN,Lung_Adenocarcinoma,88,15,73,15,508,195863,20684,0.1437007874015748,0.02952755905511811
EPHA5,Lung_Adenocarcinoma,91,14,76,13,508,195863,20684,0.14960629921259844,0.025590551181102362
KDR,Lung_Adenocarcinoma,59,7,51,7,508,195863,20684,0.10039370078740158,0.013779527559055118
CSMD3,Lung_Adenocarcinoma,429,67,225,57,508,195863,20684,0.44291338582677164,0.11220472440944881
MYH6,Lung_Adenocarcinoma,67,3,56,3,508,195863,20684,0.11023622047244094,0.005905511811023622
SLITRK1,Lung_Adenocarcinoma,70,4,58,4,508,195863,20684,0.1141732283464567,0.007874015748031496
FAM47B,Lung_Adenocarcinoma,63,6,55,6,508,195863,20684,0.10826771653543307,0.011811023622047244
F8,Lung_Adenocarcinoma,62,9,53,9,508,195863,20684,0.10433070866141732,0.017716535433070866
LAMB4,Lung_Adenocarcinoma,61,6,51,6,508,195863,20684,0.10039370078740158,0.011811023622047244
NELL1,Lung_Adenocarcinoma,62,9,57,9,508,195863,20684,0.11220472440944881,0.017716535433070866
PCDHB7,Lung_Adenocarcinoma,61,3,56,3,508,195863,20684,0.11023622047244094,0.005905511811023622
KEAP1,Lung_Adenocarcinoma,96,21,95,21,508,195863,20684,0.18700787401574803,0.04133858267716536
SCN10A,Lung_Adenocarcinoma,62,6,55,5,508,195863,20684,0.10826771653543307,0.00984251968503937
GPR112,Lung_Adenocarcinoma,126,15,102,14,508,195863,20684,0.20078740157480315,0.027559055118110236
RYR1,Lung_Adenocarcinoma,143,13,106,13,508,195863,20684,0.20866141732283464,0.025590551181102362
ADCY8,Lung_Adenocarcinoma,69,4,59,4,508,195863,20684,0.11614173228346457,0.007874015748031496
PKHD1,Lung_Adenocarcinoma,104,6,82,6,508,195863,20684,0.16141732283464566,0.011811023622047244
LRRTM4,Lung_Adenocarcinoma,84,6,70,6,508,195863,20684,0.13779527559055119,0.011811023622047244
MYH7,Lung_Adenocarcinoma,78,9,68,9,508,195863,20684,0.13385826771653545,0.017716535433070866
CACNA1B,Lung_Adenocarcinoma,57,11,53,11,508,195863,20684,0.10433070866141732,0.021653543307086614
NEB,Lung_Adenocarcinoma,112,12,84,12,508,195863,20684,0.16535433070866143,0.023622047244094488
KCNT2,Lung_Adenocarcinoma,64,11,55,10,508,195863,20684,0.10826771653543307,0.01968503937007874
TSHZ3,Lung_Adenocarcinoma,110,10,88,10,508,195863,20684,0.1732283464566929,0.01968503937007874
ADCY2,Lung_Adenocarcinoma,71,6,62,6,508,195863,20684,0.1220472440944882,0.011811023622047244
FBXL7,Lung_Adenocarcinoma,67,2,56,2,508,195863,20684,0.11023622047244094,0.003937007874015748
ZNF479,Lung_Adenocarcinoma,61,9,54,9,508,195863,20684,0.1062992125984252,0.017716535433070866
DNAH11,Lung_Adenocarcinoma,82,6,66,6,508,195863,20684,0.12992125984251968,0.011811023622047244
GRIN2A,Lung_Adenocarcinoma,72,7,60,7,508,195863,20684,0.11811023622047244,0.013779527559055118
FAT4,Lung_Adenocarcinoma,126,5,98,5,508,195863,20684,0.19291338582677164,0.00984251968503937
TNR,Lung_Adenocarcinoma,141,15,111,14,508,195863,20684,0.21850393700787402,0.027559055118110236
GRIN2B,Lung_Adenocarcinoma,73,4,65,4,508,195863,20684,0.1279527559055118,0.007874015748031496
FBN2,Lung_Adenocarcinoma,123,25,93,21,508,195863,20684,0.1830708661417323,0.04133858267716536
TENM1,Lung_Adenocarcinoma,101,14,73,14,508,195863,20684,0.1437007874015748,0.027559055118110236
TNN,Lung_Adenocarcinoma,106,14,80,14,508,195863,20684,0.15748031496062992,0.027559055118110236
SLC8A1,Lung_Adenocarcinoma,69,4,63,4,508,195863,20684,0.12401574803149606,0.007874015748031496
ZFPM2,Lung_Adenocarcinoma,74,4,62,4,508,195863,20684,0.1220472440944882,0.007874015748031496
KRAS,Lung_Adenocarcinoma,155,1,151,1,508,195863,20684,0.297244094488189,0.001968503937007874
STAB2,Lung_Adenocarcinoma,68,9,56,9,508,195863,20684,0.11023622047244094,0.017716535433070866
AFF2,Lung_Adenocarcinoma,88,10,70,10,508,195863,20684,0.13779527559055119,0.01968503937007874
EPHA3,Lung_Adenocarcinoma,68,9,53,9,508,195863,20684,0.10433070866141732,0.017716535433070866
SORCS3,Lung_Adenocarcinoma,73,14,61,13,508,195863,20684,0.12007874015748031,0.025590551181102362
PCDH11X,Lung_Adenocarcinoma,129,12,100,12,508,195863,20684,0.1968503937007874,0.023622047244094488
FAT1,Lung_Adenocarcinoma,69,10,61,10,508,195863,20684,0.12007874015748031,0.01968503937007874
FMN2,Lung_Adenocarcinoma,81,11,66,11,508,195863,20684,0.12992125984251968,0.021653543307086614
MGAM,Lung_Adenocarcinoma,74,5,66,5,508,195863,20684,0.12992125984251968,0.00984251968503937
TRPS1,Lung_Adenocarcinoma,71,10,62,9,508,195863,20684,0.1220472440944882,0.017716535433070866
VCAN,Lung_Adenocarcinoma,109,12,85,12,508,195863,20684,0.1673228346456693,0.023622047244094488
PEG3,Lung_Adenocarcinoma,93,12,80,12,508,195863,20684,0.15748031496062992,0.023622047244094488
ZNF804A,Lung_Adenocarcinoma,122,17,94,16,508,195863,20684,0.18503937007874016,0.031496062992125984
SNTG1,Lung_Adenocarcinoma,88,12,76,12,508,195863,20684,0.14960629921259844,0.023622047244094488
PCDH17,Lung_Adenocarcinoma,75,7,65,7,508,195863,20684,0.1279527559055118,0.013779527559055118
LPA,Lung_Adenocarcinoma,62,10,53,9,508,195863,20684,0.10433070866141732,0.017716535433070866
SDK1,Lung_Adenocarcinoma,61,3,51,3,508,195863,20684,0.10039370078740158,0.005905511811023622
EYS,Lung_Adenocarcinoma,58,10,53,10,508,195863,20684,0.10433070866141732,0.01968503937007874
MUC17,Lung_Adenocarcinoma,176,8,125,8,508,195863,20684,0.24606299212598426,0.015748031496062992
ZNF804B,Lung_Adenocarcinoma,70,5,59,5,508,195863,20684,0.11614173228346457,0.00984251968503937
COL19A1,Lung_Adenocarcinoma,60,7,53,7,508,195863,20684,0.10433070866141732,0.013779527559055118
