Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
C6,Skin_Cutaneous_Melanoma,184,16,121,13
TRIML1,Skin_Cutaneous_Melanoma,76,3,57,3
RGS22,Skin_Cutaneous_Melanoma,66,6,50,6
SHROOM3,Skin_Cutaneous_Melanoma,88,2,55,2
LAMB3,Skin_Cutaneous_Melanoma,67,1,47,1
TPTE,Skin_Cutaneous_Melanoma,248,21,131,21
VAV1,Skin_Cutaneous_Melanoma,57,2,44,2
ITPR1,Skin_Cutaneous_Melanoma,98,3,64,3
NOL4,Skin_Cutaneous_Melanoma,61,5,49,5
LILRB4,Skin_Cutaneous_Melanoma,71,6,53,5
SPEG,Skin_Cutaneous_Melanoma,127,9,82,9
CACNA2D4,Skin_Cutaneous_Melanoma,65,7,47,6
KIF4B,Skin_Cutaneous_Melanoma,96,2,75,2
NUP210,Skin_Cutaneous_Melanoma,86,1,64,1
POTEH,Skin_Cutaneous_Melanoma,85,3,57,2
SYCP1,Skin_Cutaneous_Melanoma,74,11,55,11
NLRP7,Skin_Cutaneous_Melanoma,109,4,74,4
SEMA5B,Skin_Cutaneous_Melanoma,62,4,47,3
INADL,Skin_Cutaneous_Melanoma,85,5,56,4
GRM4,Skin_Cutaneous_Melanoma,61,5,44,5
KIAA1217,Skin_Cutaneous_Melanoma,161,7,99,7
CDH7,Skin_Cutaneous_Melanoma,75,3,55,3
HERC2,Skin_Cutaneous_Melanoma,99,6,73,6
FGA,Skin_Cutaneous_Melanoma,77,0,58,0
CNGB1,Skin_Cutaneous_Melanoma,58,2,49,2
PCSK5,Skin_Cutaneous_Melanoma,147,15,93,13
SERPINA7,Skin_Cutaneous_Melanoma,51,3,44,3
GRIK3,Skin_Cutaneous_Melanoma,89,7,60,5
ADAMTS16,Skin_Cutaneous_Melanoma,69,5,56,4
SYCP2L,Skin_Cutaneous_Melanoma,56,3,50,3
LRRN1,Skin_Cutaneous_Melanoma,64,1,52,1
SALL3,Skin_Cutaneous_Melanoma,83,1,63,1
MME,Skin_Cutaneous_Melanoma,66,8,52,8
ADAM7,Skin_Cutaneous_Melanoma,144,4,96,4
PCDHB15,Skin_Cutaneous_Melanoma,61,2,49,2
SLCO1B3,Skin_Cutaneous_Melanoma,110,9,80,8
TRHDE,Skin_Cutaneous_Melanoma,119,9,84,9
CYLC1,Skin_Cutaneous_Melanoma,58,0,49,0
CCT8L2,Skin_Cutaneous_Melanoma,82,3,60,2
ZNF423,Skin_Cutaneous_Melanoma,72,1,53,1
PCDHGA1,Skin_Cutaneous_Melanoma,74,0,59,0
TMC7,Skin_Cutaneous_Melanoma,69,5,51,5
DOPEY2,Skin_Cutaneous_Melanoma,65,2,48,2
FCRL5,Skin_Cutaneous_Melanoma,124,4,89,4
PCDHGA3,Skin_Cutaneous_Melanoma,64,2,54,2
MYOM3,Skin_Cutaneous_Melanoma,92,9,66,9
PCDHA12,Skin_Cutaneous_Melanoma,68,0,54,0
CSMD3,Skin_Cutaneous_Melanoma,346,31,171,28
CACNA1S,Skin_Cutaneous_Melanoma,148,11,101,11
ZDBF2,Skin_Cutaneous_Melanoma,150,5,97,5
AFF3,Skin_Cutaneous_Melanoma,57,2,46,2
ADAMTS10,Skin_Cutaneous_Melanoma,80,6,62,6
TLN2,Skin_Cutaneous_Melanoma,79,4,62,4
HECTD4,Skin_Cutaneous_Melanoma,87,4,69,3
MUC4,Skin_Cutaneous_Melanoma,107,11,78,11
PCDH18,Skin_Cutaneous_Melanoma,170,6,105,6
FREM2,Skin_Cutaneous_Melanoma,113,5,80,4
SORCS3,Skin_Cutaneous_Melanoma,162,13,91,8
MGA,Skin_Cutaneous_Melanoma,61,7,51,6
ALMS1,Skin_Cutaneous_Melanoma,92,4,69,4
PCDHB6,Skin_Cutaneous_Melanoma,73,3,57,3
CHEK2P2,Skin_Cutaneous_Melanoma,58,5,49,5
RYR3,Skin_Cutaneous_Melanoma,206,21,107,19
IGSF10,Skin_Cutaneous_Melanoma,124,5,81,5
ZNF208,Skin_Cutaneous_Melanoma,123,5,83,5
DNAH3,Skin_Cutaneous_Melanoma,349,27,167,25
OR2A12,Skin_Cutaneous_Melanoma,59,4,49,4
GPC5,Skin_Cutaneous_Melanoma,74,6,58,6
CYP4B1,Skin_Cutaneous_Melanoma,73,5,58,5
ADH1C,Skin_Cutaneous_Melanoma,61,3,55,3
UBQLN3,Skin_Cutaneous_Melanoma,66,0,52,0
LCT,Skin_Cutaneous_Melanoma,151,6,91,6
PIK3CG,Skin_Cutaneous_Melanoma,58,3,46,3
ITGB4,Skin_Cutaneous_Melanoma,78,6,58,5
THSD7B,Skin_Cutaneous_Melanoma,322,21,160,19
DCHS2,Skin_Cutaneous_Melanoma,119,3,75,3
HERC2P3,Skin_Cutaneous_Melanoma,91,3,64,3
CHD7,Skin_Cutaneous_Melanoma,61,5,51,4
LY9,Skin_Cutaneous_Melanoma,75,5,52,5
C1orf94,Skin_Cutaneous_Melanoma,66,6,52,6
PCDHB8,Skin_Cutaneous_Melanoma,218,9,115,9
MLK4,Skin_Cutaneous_Melanoma,85,6,61,6
SLC9A2,Skin_Cutaneous_Melanoma,103,8,67,8
IL7R,Skin_Cutaneous_Melanoma,109,11,75,10
DNAH7,Skin_Cutaneous_Melanoma,429,36,178,29
GALNT8,Skin_Cutaneous_Melanoma,57,3,46,3
SYT10,Skin_Cutaneous_Melanoma,97,10,64,10
CR1,Skin_Cutaneous_Melanoma,112,7,81,6
PRDM16,Skin_Cutaneous_Melanoma,78,1,49,1
SYNJ2,Skin_Cutaneous_Melanoma,55,6,45,6
ROBO2,Skin_Cutaneous_Melanoma,114,8,76,8
SIGLEC1,Skin_Cutaneous_Melanoma,83,4,55,4
ADAMTSL1,Skin_Cutaneous_Melanoma,64,7,44,7
MAST4,Skin_Cutaneous_Melanoma,76,5,56,5
PTCHD3,Skin_Cutaneous_Melanoma,89,2,60,2
UNC79,Skin_Cutaneous_Melanoma,172,13,104,12
NMUR2,Skin_Cutaneous_Melanoma,81,3,60,3
ARAP2,Skin_Cutaneous_Melanoma,94,9,62,9
KLHL1,Skin_Cutaneous_Melanoma,56,1,45,1
TGM3,Skin_Cutaneous_Melanoma,60,3,46,3
USP6,Skin_Cutaneous_Melanoma,74,5,61,5
SCN1A,Skin_Cutaneous_Melanoma,165,9,107,9
KIAA0319,Skin_Cutaneous_Melanoma,81,4,59,4
EYA4,Skin_Cutaneous_Melanoma,62,6,56,6
SLC9C2,Skin_Cutaneous_Melanoma,119,5,84,5
ARHGAP29,Skin_Cutaneous_Melanoma,91,5,61,5
NCAN,Skin_Cutaneous_Melanoma,86,4,59,4
LRP2,Skin_Cutaneous_Melanoma,203,10,109,10
KMT2B,Skin_Cutaneous_Melanoma,79,9,51,8
FAT2,Skin_Cutaneous_Melanoma,98,6,73,6
ANK2,Skin_Cutaneous_Melanoma,105,3,73,3
ABCC8,Skin_Cutaneous_Melanoma,112,5,78,5
GPR98,Skin_Cutaneous_Melanoma,428,32,190,28
CYP4F2,Skin_Cutaneous_Melanoma,68,9,52,9
KCNB1,Skin_Cutaneous_Melanoma,74,5,60,5
SNTG2,Skin_Cutaneous_Melanoma,56,11,45,10
FLNB,Skin_Cutaneous_Melanoma,103,5,76,5
OBSCN,Skin_Cutaneous_Melanoma,330,15,151,15
PCNXL2,Skin_Cutaneous_Melanoma,155,15,96,11
PCDH15,Skin_Cutaneous_Melanoma,281,12,146,11
ADAMTS9,Skin_Cutaneous_Melanoma,71,6,54,6
PROM2,Skin_Cutaneous_Melanoma,50,5,45,4
COL1A2,Skin_Cutaneous_Melanoma,91,4,61,4
CDH6,Skin_Cutaneous_Melanoma,145,4,92,4
DYSF,Skin_Cutaneous_Melanoma,174,15,109,14
SERPINA3,Skin_Cutaneous_Melanoma,57,4,50,4
SLC15A2,Skin_Cutaneous_Melanoma,93,6,69,5
ZNF479,Skin_Cutaneous_Melanoma,62,5,48,5
SLFN11,Skin_Cutaneous_Melanoma,61,2,46,2
TENM1,Skin_Cutaneous_Melanoma,174,5,114,5
PHLDB2,Skin_Cutaneous_Melanoma,83,5,68,4
CUX1,Skin_Cutaneous_Melanoma,60,7,44,7
SRRM2,Skin_Cutaneous_Melanoma,63,2,49,2
CFHR2,Skin_Cutaneous_Melanoma,51,3,44,3
CAPZA3,Skin_Cutaneous_Melanoma,70,11,59,11
C12orf55,Skin_Cutaneous_Melanoma,119,4,83,4
A2ML1,Skin_Cutaneous_Melanoma,80,7,63,7
NDST4,Skin_Cutaneous_Melanoma,116,9,88,9
TMPRSS15,Skin_Cutaneous_Melanoma,61,4,48,4
BTNL8,Skin_Cutaneous_Melanoma,73,1,57,1
GTF2IRD2P1,Skin_Cutaneous_Melanoma,64,0,46,0
XKR4,Skin_Cutaneous_Melanoma,59,3,47,3
TEP1,Skin_Cutaneous_Melanoma,62,3,47,3
SVEP1,Skin_Cutaneous_Melanoma,187,7,109,7
TBX15,Skin_Cutaneous_Melanoma,74,3,55,3
JAKMIP1,Skin_Cutaneous_Melanoma,62,3,46,2
HYDIN,Skin_Cutaneous_Melanoma,401,24,177,22
EMR3,Skin_Cutaneous_Melanoma,54,9,44,9
ADAMTS6,Skin_Cutaneous_Melanoma,86,5,64,5
COL5A2,Skin_Cutaneous_Melanoma,98,5,70,5
OR2M5,Skin_Cutaneous_Melanoma,57,1,48,1
FGFR2,Skin_Cutaneous_Melanoma,60,1,47,1
SLC26A8,Skin_Cutaneous_Melanoma,55,1,48,1
SCN8A,Skin_Cutaneous_Melanoma,63,1,52,1
ZNF711,Skin_Cutaneous_Melanoma,68,4,52,4
RELN,Skin_Cutaneous_Melanoma,235,21,130,16
CUL9,Skin_Cutaneous_Melanoma,59,2,49,2
TG,Skin_Cutaneous_Melanoma,130,7,79,7
FAM179A,Skin_Cutaneous_Melanoma,64,2,50,2
CDH18,Skin_Cutaneous_Melanoma,112,7,88,7
LRRC4C,Skin_Cutaneous_Melanoma,100,8,79,8
SACS,Skin_Cutaneous_Melanoma,112,6,78,6
PLXDC2,Skin_Cutaneous_Melanoma,73,6,60,6
CDH23,Skin_Cutaneous_Melanoma,148,8,86,8
DNAH9,Skin_Cutaneous_Melanoma,344,22,168,22
DCC,Skin_Cutaneous_Melanoma,219,27,129,26
PLCH1,Skin_Cutaneous_Melanoma,156,8,91,8
NUP210L,Skin_Cutaneous_Melanoma,72,3,55,3
FER1L6,Skin_Cutaneous_Melanoma,161,10,97,10
NCOA6,Skin_Cutaneous_Melanoma,60,2,46,2
FRY,Skin_Cutaneous_Melanoma,93,8,62,8
OR4K5,Skin_Cutaneous_Melanoma,68,4,55,4
CTNNA3,Skin_Cutaneous_Melanoma,87,5,62,4
KIAA1244,Skin_Cutaneous_Melanoma,66,3,50,3
COL28A1,Skin_Cutaneous_Melanoma,66,2,52,2
DMBT1,Skin_Cutaneous_Melanoma,223,15,122,15
SERPINB4,Skin_Cutaneous_Melanoma,64,5,48,5
SCN4A,Skin_Cutaneous_Melanoma,86,4,60,4
PKP2,Skin_Cutaneous_Melanoma,94,3,60,3
TTN,Skin_Cutaneous_Melanoma,2936,125,352,88
ARHGAP36,Skin_Cutaneous_Melanoma,62,3,51,3
CXorf22,Skin_Cutaneous_Melanoma,63,4,51,4
ATP6V0A4,Skin_Cutaneous_Melanoma,58,7,45,7
ASPM,Skin_Cutaneous_Melanoma,72,12,53,12
MUSK,Skin_Cutaneous_Melanoma,79,2,51,2
DOCK3,Skin_Cutaneous_Melanoma,151,12,94,12
FLG,Skin_Cutaneous_Melanoma,393,10,155,10
OR2M3,Skin_Cutaneous_Melanoma,54,2,45,2
LAMA2,Skin_Cutaneous_Melanoma,149,19,95,17
KMT2D,Skin_Cutaneous_Melanoma,127,4,85,4
CACNG3,Skin_Cutaneous_Melanoma,77,1,58,1
GPRC6A,Skin_Cutaneous_Melanoma,93,1,74,1
AGBL1,Skin_Cutaneous_Melanoma,81,7,62,7
CACNA1A,Skin_Cutaneous_Melanoma,124,12,83,11
RIMS2,Skin_Cutaneous_Melanoma,131,10,84,10
PSG6,Skin_Cutaneous_Melanoma,73,4,55,4
PRSS1,Skin_Cutaneous_Melanoma,65,2,50,2
OR4K2,Skin_Cutaneous_Melanoma,75,0,62,0
FBXO40,Skin_Cutaneous_Melanoma,76,9,55,9
FLT4,Skin_Cutaneous_Melanoma,82,5,56,4
DSG2,Skin_Cutaneous_Melanoma,64,1,50,1
C8A,Skin_Cutaneous_Melanoma,89,11,61,10
SYNPO2,Skin_Cutaneous_Melanoma,81,4,59,4
CD1C,Skin_Cutaneous_Melanoma,63,3,48,3
RAG1,Skin_Cutaneous_Melanoma,54,1,45,1
SLCO1B7,Skin_Cutaneous_Melanoma,85,2,64,2
ZNF560,Skin_Cutaneous_Melanoma,95,13,68,12
MUC16,Skin_Cutaneous_Melanoma,1992,43,330,38
OR51A4,Skin_Cutaneous_Melanoma,60,4,51,4
ATP13A5,Skin_Cutaneous_Melanoma,112,11,80,10
GTF3C1,Skin_Cutaneous_Melanoma,72,9,51,9
XDH,Skin_Cutaneous_Melanoma,140,7,90,7
RNF213,Skin_Cutaneous_Melanoma,80,7,56,7
SLCO6A1,Skin_Cutaneous_Melanoma,104,4,79,4
UNC5D,Skin_Cutaneous_Melanoma,91,10,70,9
KIAA2022,Skin_Cutaneous_Melanoma,162,13,104,13
PDE6C,Skin_Cutaneous_Melanoma,61,4,48,4
GCN1L1,Skin_Cutaneous_Melanoma,68,3,54,3
F8,Skin_Cutaneous_Melanoma,115,4,83,4
UNC45B,Skin_Cutaneous_Melanoma,57,4,47,4
KLHL4,Skin_Cutaneous_Melanoma,53,3,44,3
PCDHB7,Skin_Cutaneous_Melanoma,113,3,80,3
NWD1,Skin_Cutaneous_Melanoma,125,5,92,5
MYPN,Skin_Cutaneous_Melanoma,61,2,49,2
CNTNAP3,Skin_Cutaneous_Melanoma,78,6,58,6
DIDO1,Skin_Cutaneous_Melanoma,100,2,70,2
DAB1,Skin_Cutaneous_Melanoma,108,5,77,5
PARD3B,Skin_Cutaneous_Melanoma,61,5,46,5
IMPG1,Skin_Cutaneous_Melanoma,85,3,60,3
CD163,Skin_Cutaneous_Melanoma,178,7,124,6
NLRP13,Skin_Cutaneous_Melanoma,138,9,86,8
