Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
SEMA5A,Uterine_Corpus_Endometrial_Carcinoma,100,5,47,5
CXorf22,Uterine_Corpus_Endometrial_Carcinoma,83,10,46,10
KDM6A,Uterine_Corpus_Endometrial_Carcinoma,95,7,57,6
ZC3H18,Uterine_Corpus_Endometrial_Carcinoma,78,11,52,11
VCL,Uterine_Corpus_Endometrial_Carcinoma,71,7,46,6
PABPC5,Uterine_Corpus_Endometrial_Carcinoma,128,6,53,6
ASPM,Uterine_Corpus_Endometrial_Carcinoma,246,33,81,28
OCRL,Uterine_Corpus_Endometrial_Carcinoma,110,14,59,14
MUSK,Uterine_Corpus_Endometrial_Carcinoma,68,11,44,10
DOCK3,Uterine_Corpus_Endometrial_Carcinoma,184,44,87,39
FLG,Uterine_Corpus_Endometrial_Carcinoma,255,23,107,20
PALM2-AKAP2,Uterine_Corpus_Endometrial_Carcinoma,89,4,54,4
ZNF449,Uterine_Corpus_Endometrial_Carcinoma,85,6,48,6
CNNM4,Uterine_Corpus_Endometrial_Carcinoma,66,2,47,2
EIF4G3,Uterine_Corpus_Endometrial_Carcinoma,118,19,68,16
PNPLA7,Uterine_Corpus_Endometrial_Carcinoma,113,8,57,8
DYRK2,Uterine_Corpus_Endometrial_Carcinoma,102,1,56,1
NAV2,Uterine_Corpus_Endometrial_Carcinoma,166,11,81,10
NCOA1,Uterine_Corpus_Endometrial_Carcinoma,92,11,55,11
YES1,Uterine_Corpus_Endometrial_Carcinoma,70,4,44,4
CHD2,Uterine_Corpus_Endometrial_Carcinoma,121,11,63,10
ZCCHC5,Uterine_Corpus_Endometrial_Carcinoma,65,1,47,1
TCF25,Uterine_Corpus_Endometrial_Carcinoma,77,4,45,4
PHF3,Uterine_Corpus_Endometrial_Carcinoma,132,20,61,19
RAD50,Uterine_Corpus_Endometrial_Carcinoma,97,19,50,18
DLG3,Uterine_Corpus_Endometrial_Carcinoma,124,5,78,5
LAMA2,Uterine_Corpus_Endometrial_Carcinoma,229,40,85,31
KMT2D,Uterine_Corpus_Endometrial_Carcinoma,339,80,138,66
BICC1,Uterine_Corpus_Endometrial_Carcinoma,65,8,45,8
PUM1,Uterine_Corpus_Endometrial_Carcinoma,68,9,47,9
PKP4,Uterine_Corpus_Endometrial_Carcinoma,79,10,50,9
SBF1,Uterine_Corpus_Endometrial_Carcinoma,91,11,50,11
RTF1,Uterine_Corpus_Endometrial_Carcinoma,71,9,48,9
AGBL1,Uterine_Corpus_Endometrial_Carcinoma,83,16,46,15
SUCO,Uterine_Corpus_Endometrial_Carcinoma,89,9,49,9
CACNA1A,Uterine_Corpus_Endometrial_Carcinoma,122,9,62,9
RIMS2,Uterine_Corpus_Endometrial_Carcinoma,158,19,72,17
HPS3,Uterine_Corpus_Endometrial_Carcinoma,84,9,56,9
ARFGEF1,Uterine_Corpus_Endometrial_Carcinoma,128,22,53,16
KIF1B,Uterine_Corpus_Endometrial_Carcinoma,165,7,68,7
PLS3,Uterine_Corpus_Endometrial_Carcinoma,70,4,45,4
PTPN21,Uterine_Corpus_Endometrial_Carcinoma,78,9,48,9
AXIN2,Uterine_Corpus_Endometrial_Carcinoma,67,8,47,7
KDM5C,Uterine_Corpus_Endometrial_Carcinoma,98,8,54,8
GPM6A,Uterine_Corpus_Endometrial_Carcinoma,109,2,59,2
FLT4,Uterine_Corpus_Endometrial_Carcinoma,93,8,54,8
KAT6B,Uterine_Corpus_Endometrial_Carcinoma,96,5,59,4
PRTG,Uterine_Corpus_Endometrial_Carcinoma,85,13,51,13
ZNF98,Uterine_Corpus_Endometrial_Carcinoma,72,6,46,6
NPR3,Uterine_Corpus_Endometrial_Carcinoma,71,2,44,2
KIAA2026,Uterine_Corpus_Endometrial_Carcinoma,115,12,55,11
N4BP2L2,Uterine_Corpus_Endometrial_Carcinoma,85,12,51,10
SYNPO2,Uterine_Corpus_Endometrial_Carcinoma,88,6,53,6
RAG1,Uterine_Corpus_Endometrial_Carcinoma,105,6,59,6
KIF4A,Uterine_Corpus_Endometrial_Carcinoma,98,6,50,5
WDR64,Uterine_Corpus_Endometrial_Carcinoma,84,8,45,7
RAB3GAP1,Uterine_Corpus_Endometrial_Carcinoma,80,9,50,9
PPP2R1A,Uterine_Corpus_Endometrial_Carcinoma,98,4,82,4
ZNF521,Uterine_Corpus_Endometrial_Carcinoma,97,7,49,7
MUC16,Uterine_Corpus_Endometrial_Carcinoma,717,76,134,46
NAA15,Uterine_Corpus_Endometrial_Carcinoma,101,26,55,25
KIF13A,Uterine_Corpus_Endometrial_Carcinoma,75,9,48,8
