Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
HYDIN,Lung_Adenocarcinoma,89,12,70,12
PRDM9,Lung_Adenocarcinoma,114,15,97,14
ABCB5,Lung_Adenocarcinoma,72,7,59,7
MYH2,Lung_Adenocarcinoma,90,13,75,12
CNTN5,Lung_Adenocarcinoma,59,11,52,10
DPP6,Lung_Adenocarcinoma,68,3,52,3
DUSP27,Lung_Adenocarcinoma,67,9,56,9
MYH13,Lung_Adenocarcinoma,65,7,60,7
COL5A2,Lung_Adenocarcinoma,62,10,56,10
TENM3,Lung_Adenocarcinoma,67,9,60,9
SPTA1,Lung_Adenocarcinoma,226,33,151,33
SETBP1,Lung_Adenocarcinoma,80,11,65,11
MALAT1,Lung_Adenocarcinoma,66,0,58,0
CSMD1,Lung_Adenocarcinoma,174,22,128,21
LPHN3,Lung_Adenocarcinoma,86,12,72,11
CHL1,Lung_Adenocarcinoma,67,7,56,7
FLNC,Lung_Adenocarcinoma,81,3,62,3
RELN,Lung_Adenocarcinoma,131,11,99,11
AHNAK2,Lung_Adenocarcinoma,146,7,100,6
SORCS1,Lung_Adenocarcinoma,102,12,76,11
TG,Lung_Adenocarcinoma,85,13,64,12
ZFHX4,Lung_Adenocarcinoma,295,30,175,29
TIAM1,Lung_Adenocarcinoma,75,10,65,10
THSD7B,Lung_Adenocarcinoma,68,7,55,7
PKHD1L1,Lung_Adenocarcinoma,104,11,75,11
CDH18,Lung_Adenocarcinoma,69,5,63,5
LRRC4C,Lung_Adenocarcinoma,62,6,51,6
XIRP2,Lung_Adenocarcinoma,245,21,165,20
CDH23,Lung_Adenocarcinoma,61,3,54,3
CDH9,Lung_Adenocarcinoma,94,12,79,12
KIF2B,Lung_Adenocarcinoma,87,6,75,6
DNAH9,Lung_Adenocarcinoma,153,23,111,21
LRRC7,Lung_Adenocarcinoma,121,19,92,19
SPATA31A6,Lung_Adenocarcinoma,66,5,57,5
MYO18B,Lung_Adenocarcinoma,67,3,59,3
TRPA1,Lung_Adenocarcinoma,71,12,63,12
MYH8,Lung_Adenocarcinoma,77,7,67,7
CPS1,Lung_Adenocarcinoma,86,12,72,12
PKD1L1,Lung_Adenocarcinoma,65,4,57,4
TPTE,Lung_Adenocarcinoma,93,15,79,15
DCHS2,Lung_Adenocarcinoma,66,5,56,5
FER1L6,Lung_Adenocarcinoma,70,12,58,12
SLIT2,Lung_Adenocarcinoma,65,10,56,10
MMP16,Lung_Adenocarcinoma,74,8,62,7
ANKRD30A,Lung_Adenocarcinoma,75,8,62,8
EPHB6,Lung_Adenocarcinoma,65,4,55,4
COL3A1,Lung_Adenocarcinoma,81,9,67,9
ITGA8,Lung_Adenocarcinoma,66,8,56,8
PCLO,Lung_Adenocarcinoma,163,17,121,16
