Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
TTN,Kidney_Renal_Papillary_Cell_Carcinoma,70,11,57,11
MUC16,Kidney_Renal_Papillary_Cell_Carcinoma,33,3,30,3
